id,summary,start,end,location
ADE6050726f6a65745f323032332d323032342d38323331302d302d32,R406 Comm interne (G1),20240318T144500Z,20240318T164500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38323431352d302d35,R4A11 Dev mobile (G1.1),20240322T124500Z,20240322T164500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d39323131372d302d31,R208 Stat. descriptives (G3),20240318T144500Z,20240318T164500Z,IN2.02
ADE6050726f6a65745f323032332d323032342d31393333342d302d3230,Allemand,20240319T163000Z,20240319T173000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38383033382d302d31,R203 Qual de dev (G1.2),20240320T124500Z,20240320T164500Z,IN1.09
ADE6050726f6a65745f323032332d323032342d38323130332d302d30,R403 Au-delà relationnel (TP noté),20240318T124500Z,20240318T144500Z,IN1.09
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3335,Projet,20240319T073000Z,20240319T113000Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38373435352d302d36,R4A12 Langages (G1),20240319T124500Z,20240319T144500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38373435342d302d33,R4A12 Langages (G2),20240319T144500Z,20240319T164500Z,IN0.07
ADE6050726f6a65745f323032332d323032342d39323135382d302d37,R210 Gest. Orga. (G3),20240322T073000Z,20240322T093000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d3131363233392d332d30,SAÉ 206 (G1),20240322T124500Z,20240322T144500Z,IN1.05
ADE6050726f6a65745f323032332d323032342d3131363233392d332d30,SAÉ 206 (G1),20240322T124500Z,20240322T144500Z,IN1.06
ADE6050726f6a65745f323032332d323032342d383131372d302d33,R407 PPP (G1),20240319T144500Z,20240319T164500Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38373931302d302d31,R203 Qual de dev (G3.),20240320T073000Z,20240320T113000Z,IN2.01
ADE6050726f6a65745f323032332d323032342d38323432332d302d31,R4A11 Dev mobile (G2.2),20240322T073000Z,20240322T113000Z,IN1.07
ADE6050726f6a65745f323032332d323032342d38383134332d302d3131,R207 Graphes (G3),20240321T073000Z,20240321T093000Z,IN0.09
ADE6050726f6a65745f323032332d323032342d39333233352d302d35,R213 Comm (G2),20240322T124500Z,20240322T144500Z,IN0.08
ADE6050726f6a65745f323032332d323032342d38323131302d302d30,R403 Au-delà relationnel (TP noté),20240318T124500Z,20240318T144500Z,IN1.06
ADE6050726f6a65745f323032332d323032342d3133343631372d302d3330,Projet,20240320T124500Z,20240320T164500Z,IN0.03
ADE6050726f6a65745f323032332d323032342d38323331342d302d31,R406 Comm interne (G2),20240318T073000Z,20240318T093000Z,IN0.04
ADE6050726f6a65745f323032332d323032342d38393735382d332d30,SAé 4.03 Réal autonomie TPC,20240318T073000Z,20240318T093000Z,GT1.06
ADE6050726f6a65745f323032332d323032342d37313233342d302d30,TD Installations de cogénération Optim,20240318T093000Z,20240318T113000Z,GT109a
ADE6050726f6a65745f323032332d323032342d37313233342d302d30,TD Installations de cogénération Optim,20240318T093000Z,20240318T113000Z,GT109b
ADE6050726f6a65745f323032332d323032342d39393033382d302d31,Thermique du bâtiment éval TPB,20240320T124500Z,20240320T164500Z,GT1.11
ADE6050726f6a65745f323032332d323032342d38393735382d352d30,SAé 4.03 Réal autonomie TPC,20240318T124500Z,20240318T144500Z,GT1.06
ADE6050726f6a65745f323032332d323032342d37333333312d302d30,SAé 2.03 TPA,20240318T073000Z,20240318T113000Z,GT2.11
ADE6050726f6a65745f323032332d323032342d39323331362d302d30,*SAé 2.04 Autonomie info TPD,20240318T083000Z,20240318T113000Z,GT1.10
